Marca,Modelo,Detalle Modelo,Tracción,Transmisión,Combustible,Cilindrada,Carrocería,Código Informe Técnico,Fecha de Homologación,Categoría del Vehículo,Empresa que realizó la Homologación,Norma,CO2 g/km,Rendimiento km/l Ciudad,Rendimiento km/l Carretera,Rendimiento km/l Mixto
Land Rover,Range Rover Evoque,"Range Rover Evoque 2,2 Lts. Prestige DOHC Station Wagon 3P. 4x4 T/A Motor Diesel",4x4,A,Diesel,2.2,Station Wagon,LR4747E50712S03-K,,LPD,Comercializadora Ditec Automóviles S.A.,EURO V,"196,00","11,40","16,10","13,70"
Landwind,X5,"X5 (JX6461L) 2,0 Lts. SOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,2,Station Wagon,LW5911E50914S00-2,9/26/14,LPO,Cidef Comercial S.A.,EURO V,"226,00","8,10","12,70","10,50"
Lexus,CT 200 H,"CT 200 H 1,8 Lts. Híbrido DOHC Hatch Back 5P. T/A, Vehículo Eléctrico Híbrido",4x2,A,Eléctrico/Híbrido,1.8,Hatch Back,LX3783E50613S00-4,1/24/11,LPH,Toyota Chile S.A.,EURO V,"90,00","39,00","21,40","25,70"
Lexus,ES 350,"ES 350 3,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,3.5,Sedan,LX5494E51213S00-0,1/27/14,LPO,Toyota Chile S.A.,EURO V,"215,00","7,70","14,80","11,10"
Lexus,GS 250,"GS 250 2,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2.5,Sedan,LX4684E50114S00-4,7/11/12,LPO,Toyota Chile S.A.,EURO V,"218,00","7,70","13,50","10,60"
Lexus,GS 350,"GS 350 3,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,3.5,Sedan,LX5493E51213S00-5,1/21/14,LPO,Toyota Chile S.A.,EURO V,"273,00","7,10","13,30","10,10"
Lexus,GS 450H Híbrido,"GS 450 H Híbrido 3,5 Lts. DOHC Sedan 4P. T/SA (CVT), Vehículo Eléctrico Híbrido",4x2,A,Eléctrico/Híbrido,3.5,Sedan,LX4776E50613S00-9,8/21/12,LPH,Toyota Chile S.A.,EURO V,"145,00","14,50","17,50","16,10"
Lexus,IS 250,"IS 250 2,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2.5,Sedan,LX5060E51113S00-1,2/21/13,LPO,Toyota Chile S.A.,EURO V,"211,00","8,30","14,30","11,30"
Lexus,IS 300 H,"IS 300 H 2,5 Lts. DOHC Híbrido Sedan 4P. T/A Tipo CVT, Vehículo Eléctrico Híbrido",4x2,A,Eléctrico/Híbrido,2.5,Sedan,LX5322E50813S00-0,9/13/13,LPH,Toyota Chile S.A.,EURO V,"115,00","19,20","20,00","20,00"
Lexus,IS 350,"IS 350 3,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,3.5,Sedan,LX5323E50813S00-6,9/13/13,LPO,Toyota Chile S.A.,EURO V,"235,00","7,40","13,00","10,20"
Lexus,LS 460,"LS 460 4,6 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,4.6,Sedan,LX4503E50114S00-9,12/28/11,LPO,Toyota Chile S.A.,EURO V,"263,00","5,90","12,30","8,80"
Lexus,NX 200T,"NX 200T 2,0 Lts. DOHC Station Wagon 5P. 4x2 T/A Motor Otto",4x2,A,Gasolina,2,Station Wagon,LX5976E51014S00-3,11/26/14,LPO,Toyota Chile S.A.,EURO V,"198,00","9,30","14,50","12,10"
Lexus,NX 200T,"NX 200T 2,0 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto",4x4,A,Gasolina,2,Station Wagon,LX5976E51014S01-7,,LPO,Toyota Chile S.A.,EURO V,"198,00","9,30","14,50","12,10"
Lexus,NX 300 H,"NX 300 H 2,5 Lts. DOHC Station Wagon 5P. T/A Tipo CVT 4x4, Vehículo Híbrido Eléctrico",4x4,A,Eléctrico/Híbrido,2.5,Station Wagon,LX5975E51014S00-8,12/16/14,LPO,Toyota Chile S.A.,EURO V,"140,00","15,90","17,20","17,90"
Lexus,NX 300 H,"NX 300 H 2,5 Lts. DOHC Station Wagon 5P. T/A Tipo CVT 4x2, Vehículo Híbrido Eléctrico",4x2,A,Eléctrico/Híbrido,2.5,Station Wagon,LX5975E51014S01-1,,LPO,Toyota Chile S.A.,EURO V,"139,00","15,90","17,50","16,90"
Lexus,RC 350,"RC 350 3,5 Lts. Coupe 2P. T/A Otto",4x2,A,Gasolina,3.5,Coupe,LX6075E51214S00-6,4/1/15,LPO,Toyota Chile S.A.,EURO V,"227,00","7,50","13,70","10,50"
Lexus,RX 350,"RX 350 3,5 Lts. DOHC Station Wagon 5P. T/A 4x4 Motor Otto",AWD,A,Gasolina,3.5,Station Wagon,LX5549E50114S00-2,4/1/14,LPO,Toyota Chile S.A.,EURO V,"247,00","6,90","11,80","9,30"
Lexus,RX 450H,"RX 450 H 3,5 Lts. Híbrido DOHC Station Wagon 5P. T/A, Vehículo Eléctrico Híbrido",AWD,A,Eléctrico/Híbrido,3.5,Station Wagon,LX3873E50613S00-3,12/22/10,LPH,Toyota Chile S.A.,EURO V,"146,00","15,40","16,70","15,90"
Lexus,RC-F,"RC-F 5,0 Lts. Coupe 2P. T/A Otto",4x2,A,Gasolina,5,Coupe,LX6102E50115S00-5,3/20/15,LPO,Toyota Chile S.A.,EURO V,"263,00","6,10","12,60","9,10"
Lifan,330,"330 1,3 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.3,Hatch Back,LF5292E50713S00-8,9/4/13,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"166,00","10,80","17,80","14,30"
Lifan,530,"530 1,5 Lts. DOHC Sedan 4P. T/M Motor Otto",4x2,M,Gasolina,1.5,Sedan,LF5350E50913S00-0,10/17/13,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"187,00","9,80","15,50","12,70"
Lifan,630,"630 1,5 Lts. DOHC Sedan 4P. T/M Motor Otto",4x2,M,Gasolina,1.5,Sedan,LF5310E50813S00-3,10/1/13,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"187,00","9,90","15,30","12,70"
Lifan,Van,"Van 1,2 Lts. DOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,1.2,Station Wagon,LF5579E50214S00-3,4/16/14,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"167,00","10,90","17,20","14,20"
Lifan,Van XL,"Van XL 1,2 Lts. DOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,1.2,Station Wagon,LF5579E50214S03-4,,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"167,00","10,90","17,20","14,20"
Lifan,X50,"X50 1,5 Lts. DOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,1.5,Station Wagon,LF6065E51214S00-K,2/23/15,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"183,00","10,00","15,80","13,00"
Lifan,X60,"X 60 1,8 Lts. DOHC Station Wagon 5P. T/M 4x2 Motor Otto",4x2,M,Gasolina,1.8,Station Wagon,LF5879E50714S00-K,9/26/14,LPO,Distribuidora de Vehículos Motorizados S.A. (SODIVEM),EURO V,"195,00","9,90","14,10","12,20"
Mahindra,Quanto C8,"Quanto C8 2,2 Lts. DOHC Tipo Jeep 5P. T/M 4x4 Motor Diesel",4x4,M,Diesel,2.2,Jeep,MH5624E50314S00-6,7/11/14,CC3D,Automotores Gildemeister S.A.,EURO V,"218,00","10,90","12,90","12,10"
Mahindra,Quanto C8,"Quanto C8 2,2 Lts. DOHC Tipo Jeep 5P. T/M 4x2 Motor Diesel",4x2,M,Diesel,2.2,Jeep,MH5624E50314S01-K,,CC3D,Automotores Gildemeister S.A.,EURO V,"218,00","10,90","12,90","12,10"
Mahindra,Scorpio,"Scorpio 2,2 Lts. DOHC Powered By M Hawk Tipo Jeep 5P. T/M 4x4 Motor Diesel",4x4,M,Diesel,2.2,Jeep,MH5082E50213S00-0,6/5/13,CC3D,Automotores Gildemeister S.A.,EURO V,"250,00","8,90","11,80","10,60"
Mahindra,Scorpio,"Scorpio 2,2 Lts. DOHC Powered By M Hawk Tipo Jeep 5P. T/M 4x2 Motor Diesel",4x2,M,Diesel,2.2,Jeep,MH5082E50213S01-4,,CC3D,Automotores Gildemeister S.A.,EURO V,"250,00","8,90","11,80","10,60"
Mahindra,XUV 500,"XUV 500 2,2 Lts. DOHC Station Wagon 5P. AWD T/M Motor Diesel",AWD,M,Diesel,2.2,Station Wagon,MH5054E50113S00-9,2/13/13,LPD,Automotores Gildemeister S.A.,EURO V,"186,00","12,30","15,60","14,30"
Mahindra,XUV 500,"XUV 500 2,2 Lts. DOHC Station Wagon  5P. 4x2 T/M Motor Diesel",4x2,M,Diesel,2.2,Station Wagon,MH5054E50113S01-2,,LPD,Automotores Gildemeister S.A.,EURO V,"173,00","12,70","17,20","15,40"
Marca,Modelo,Versión,Tracción,Transmisión,Combustible,Cilindrada (L),Carrocería,Código Informe Técnico,Fecha de Homologación,Categoría del Vehículo,Empresa que realizó la Homologación,Norma,CO2 [g/km],Rendimiento Ciudad [km/L],Rendimiento Carretera [km/L],Rendimiento Mixto [km/L]
Maserati,Ghibli,"Ghibli 3,0 Lts. V6 330 CV DOHC Sedan 4P. T/A 4x4 Motor Otto",4x4,A,Gasolina,3,Sedan,MS5888E50814S00-K,10/1/14,LPO,Comercial Itala S.A.,EURO V,"221,00","7,30","14,20","10,50"
Maserati,Ghibli,"Ghibli 3,0 Lts. V6 330 CV DOHC Sedan 4P. T/A 4x2 Motor Otto",4x2,A,Gasolina,3,Sedan,MS5888E50814S01-3,,LPO,Comercial Itala S.A.,EURO V,"221,00","7,30","14,20","10,50"
Maserati,Ghibli S,"Ghibli S 3,0 Lts. DOHC Sedan 4P. T/A AWD 4x4 Motor Otto",4x4,A,Gasolina,3,Sedan,MS5489E51213S00-3,1/24/14,LPO,Comercial Itala S.A.,EURO V,"221,00","7,30","14,20","10,50"
Maserati,Ghibli S,"Ghibli S 3,0 Lts. DOHC Sedan 4P. T/A RWD 4x2 Motor Otto",4x2,A,Gasolina,3,Sedan,MS5489E51213S01-7,,LPO,Comercial Itala S.A.,EURO V,"221,00","7,30","14,20","10,50"
Maserati,Ghibli S,"Ghibli S 3,0 Lts. DOHC Sedan 4P. T/A 4x2 Motor Diesel",CT,A,Diesel,3,Sedan,MS5673E50414S00-4,6/3/14,LPD,Comercial Itala S.A.,EURO V,"163,00","12,70","19,20","16,10"
Maserati,Grancabrio,"Grancabrio 4,7 Lts. V8 DOHC Coupe (Convertible) 2P. T/A Motor Otto",CT,A,Gasolina,4.7,Cabriolet,MS3513E51013S00-9,7/14/10,LPO,Comercial Itala S.A.,EURO V,"332,00","4,50","10,20","7,00"
Maserati,Grancabrio Sport,"Grancabrio Sport 4,7 Lts. V8 DOHC Coupe (Convertible) 2P. T/A Motor Otto",CT,A,Gasolina,4.7,Cabriolet,MS3513E51013S01-2,,LPO,Comercial Itala S.A.,EURO V,"332,00","4,50","10,20","7,00"
Maserati,Granturismo MC Stradale,"Granturismo MC Stradale 4,7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto",CT,M,Gasolina,4.7,Coupé,MS2979E51013S01-4,,LPO,Comercial Itala S.A.,EURO V,"337,00","4,40","10,30","6,90"
Maserati,Granturismo S,"Granturismo S 4,7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto",CT,M,Gasolina,4.7,Coupé,MS2979E51013S00-0,10/15/08,LPO,Comercial Itala S.A.,EURO V,"341,00","4,20","9,20","6,50"
Maserati,Granturismo S Automático,"Granturismo S Automático 4,7 Lts. V8 DOHC 32v Coupe 2P. T/A Motor Otto",CT,A,Gasolina,4.7,Coupé,MS3168E51013S00-4,8/5/09,LPO,Comercial Itala S.A.,EURO V,"354,00","4,30","9,50","6,60"
Maserati,Granturismo Sport,"Granturismo Sport 4,7 Lts. DOHC 32v Coupe 2P. T/M Secuencial Motor Otto",CT,M,Gasolina,4.7,Coupé,MS2979E51013S02-8,,LPO,Comercial Itala S.A.,EURO V,"337,00","4,40","10,30","6,90"
Maserati,Quattroporte,"Quattroporte 3,8 Lts. DOHC Sedan 4P. T/A Motor Otto",CT,A,Gasolina,3.8,Sedan,MS5157E50413S00-8,5/13/13,LPO,Comercial Itala S.A.,EURO V,"274,00","5,70","11,80","8,50"
Maserati,Quattroporte GTS Automático,"Quattroporte GTS Automático 4,7 Lts. V8 DOHC 32v Sedan 4P. T/A Motor Otto",CT,A,Gasolina,4.7,Sedan,MS3168E51013S02-1,,LPO,Comercial Itala S.A.,EURO V,"354,00","4,30","9,50","6,60"
Maserati,Quattroporte S,"Quattroporte S 3,0 Lts. DOHC Sedan 4P. T/A 4x4 Motor Otto",4x4,A,Gasolina,3,Sedan,MS5336E50813S01-0,,LPO,Comercial Itala S.A.,EURO V,"285,00","5,50","11,40","8,20"
Maserati,Quattroporte S Automático,"Quattroporte S Automático 4,7 Lts. V8 DOHC 32v Sedan 4P. T/A Motor Otto",CT,A,Gasolina,4.7,Sedan,MS3168E51013S01-8,,LPO,Comercial Itala S.A.,EURO V,"354,00","4,30","9,50","6,60"
Maserati,Quattroporte S Q4,"Quattroporte S Q4 3,0 Lts. DOHC Sedan 4P. T/A 4x4 Motor Otto",4x4,A,Gasolina,3,Sedan,MS5336E50813S00-7,10/15/13,LPO,Comercial Itala S.A.,EURO V,"285,00","5,50","11,40","8,20"
Mazda,CX-5 i-Stop,"CX-5 I-Stop 2,5 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Otto",4x4,A,Gasolina,2.5,Station Wagon,MZ5204E50513S00-3,6/19/13,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"172,00","10,60","15,90","13,50"
Mazda,CX-5 i-Stop,"CX-5  I-Stop 2,0 Lts. DOHC Station Wagon 5P. T/A 4x4 Motor Otto",4x4,A,Gasolina,2,Station Wagon,MZ5454E51113S00-5,12/27/13,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"160,00","12,20","16,10","14,50"
Mazda,CX-5 i-Stop,"CX-5  I-Stop 2,0 Lts. DOHC Station Wagon 5P. T/M 4x4 Motor Otto",4x4,M,Gasolina,2,Station Wagon,MZ5450E51113S00-3,12/27/13,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"157,00","12,30","16,90","14,90"
Mazda,CX-5 i-Stop,"CX-5 i-Stop 2,0 Lts. DOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,2,Station Wagon,MZ5632E50314S00-3,4/9/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"149,00","12,50","18,20","15,60"
Mazda,CX-5 i-Stop,"CX-5 i-Stop 2,0 Lts. DOHC Station Wagon 5P. T/A Motor Otto",4x2,A,Gasolina,2,Station Wagon,MZ5631E50314S00-8,4/7/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"148,00","12,50","18,20","15,60"
Mazda,CX-5 i-Stop,"CX-5 I-Stop 2,2 Lts. DOHC Station Wagon 5P. 4x4 T/A Motor Diesel",4x4,A,Diesel,2.2,Station Wagon,MZ5190E50513S00-9,6/19/13,LPD,Importadora y Distribuidora Alameda S.A.,EURO V,"155,00","14,30","18,90","16,90"
Mazda,Mazda 2,"Mazda2 1,5 Lts. DOHC Hatch Back 5P. T/A Motor Otto",4x2,A,Gasolina,1.5,Hatch Back,MZ5881E50714S00-4,9/8/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"173,00","11,00","16,00","13,60"
Mazda,Mazda 2,"Mazda2 1,5 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.5,Hatch Back,MZ5880E50714S00-9,9/8/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"161,00","11,70","17,40","14,70"
Mazda,Mazda 2,"Mazda2 1,5 Lts. Sedán 4P. T/A Otto",4x2,A,Gasolina,1.5,Sedan,MZ6243E50615S00-K,8/13/15,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"138,00","13,00","21,20","17,20"
Mazda,Mazda 2,"Mazda2 1,5 Lts. Sedán 4P. T/M Otto",4x2,M,Gasolina,1.5,Sedan,MZ6244E50615S00-5,8/13/15,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"136,00","13,30","21,60","17,60"
Mazda,Mazda 2 Sport,"Mazda2 Sport 1,5 Lts. Hatch Back 5P. T/M Otto",4x2,M,Gasolina,1.5,Hatch Back,MZ6231E50615S00-4,6/24/15,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"132,30","13,70","21,90","18,00"
Mazda,Mazda 3,"Mazda3 1,6 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,1.6,Sedan,MZ5723E50514S00-6,7/3/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"159,00","10,90","18,90","14,90"
Mazda,Mazda 3,"Mazda3 2,0 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,2,Hatch Back,MZ5724E50514S00-1,6/18/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"154,00","11,40","19,50","15,50"
Mazda,Mazda 3,"Mazda3 2,0 Lts. DOHC Sedan 4P. T/M Motor Otto",4x2,M,Gasolina,2,Sedan,MZ5724E50514S01-5,,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"154,00","11,40","19,50","15,50"
Mazda,Mazda 3,"Mazda3 2,0 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2,Sedan,MZ5725E50514S00-7,6/18/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"155,00","11,60","19,20","15,40"
Mazda,Mazda 3,"Mazda3 2,0 Lts. DOHC Hatch Back 5P. T/A Motor Otto",4x2,A,Gasolina,2,Hatch Back,MZ5725E50514S01-0,,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"155,00","11,60","19,20","15,40"
Mazda,Mazda 3,"Mazda3 1,6 Lts. DOHC Sedan 4P. T/M Motor Otto",4x2,M,Gasolina,1.6,Sedan,MZ5722E50514S00-0,6/26/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"148,00","12,20","19,70","16,00"
Mazda,Mazda 5,"Mazda5 2,0 Lts. DOHC Station Wagon 5P. T/M Motor Otto",4x2,M,Gasolina,2,Station Wagon,MZ5890E50714S00-3,9/8/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"205,00","8,80","14,30","11,60"
Mazda,Mazda 5,"Mazda5 2,0 Lts. DOHC Station Wagon 5P. T/A Motor Otto",4x2,A,Gasolina,1.5,Station Wagon,MZ5889E50714S00-8,9/8/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"195,00","9,10","15,20","12,20"
Mazda,Mazda 6,"Mazda6 2,5 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2,Sedan,MZ5721E50514S00-5,6/18/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"166,00","10,40","18,50","14,40"
Mazda,Mazda 6,"Mazda6 2,5 Lts. Station Wagon 5P. T/A Otto",4x2,A,Gasolina,2,Station Wagon,MZ5721E50514S01-9,18-08-2015 (Ext.),LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"166,00","10,40","18,50","14,40"
Mazda,Mazda 6,"Mazda6 2,0 Lts. DOHC Sedan 4P. T/M Motor Otto",4x2,M,Gasolina,2,Sedan,MZ5564E50214S00-5,2/25/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"159,00","11,10","18,80","15,00"
Mazda,Mazda 6,"Mazda6 2,0 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,2,Sedan,MZ5525E50114S00-3,2/10/14,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"159,00","11,20","18,70","15,00"
Mazda,Mazda 6,"Mazda 6 2,2 Lts. DOHC Sedan 4P. T/A Motor Diesel",4x2,A,Diesel,2.2,Sedan,MZ5010E51212S00-9,1/29/13,LPD,Importadora y Distribuidora Alameda S.A.,EURO V,"159,00","12,10","21,40","16,70"
Mazda,Mazda MX-5,"MX-5 2,0 Lts. DOHC Coupe Deportivo 2P. T/M Motor Otto",4x2,M,Gasolina,2,Coupé,MZ3901T250414S00-6,2/4/11,LPO,Importadora y Distribuidora Alameda S.A.,TIER 2 B5,"202,00","8,20","14,70","11,50"
Mazda,Mazda MX-5,"Mazda MX-5 2,0 Lts. Cabriolet 2P. T/A Otto",4x2,A,Gasolina,2,Cabriolet,MZ6349E50815S00-4,9/16/15,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"178,00","9,60","17,30","13,40"
Mazda,Mazda 2 Sport,"Mazda2 Sport 1,5 Lts. Hatch Back 5P. T/A Otto",4x2,A,Gasolina,1.5,Hatch Back,MZ6230E50615S00-9,7/28/15,LPO,Importadora y Distribuidora Alameda S.A.,EURO V,"140,00","12,90","20,90","17,00"
McLaren,650S,"650S 3,8 Lts. DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,3.8,Coupé,MC5636E50314S03-0,,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"275,00","5,80","11,80","8,50"
McLaren,650S Spyder,"650S Spyder 3,8 Lts. DOHC Convertible 2P. T/A Motor Otto",4x2,A,Gasolina,3.8,Coupé,MC5636E50314S02-7,,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"275,00","5,80","11,80","8,50"
McLaren,MP4-12C Spyder,"MP4-12C Spyder 3,8 Lts. DOHC Convertible 2P. T/A Motor Otto",4x2,A,Gasolina,3.8,Cabriolet,MC5636E50314S00-K,5/16/14,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"275,00","5,80","11,80","8,50"
McLaren,MP4-12C Spyder,"MP4-12C Spyder 3,8 Lts. DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,3.8,Coupé,MC5636E50314S01-3,,LPO,Comercial y Arrendamientos León Ltda.,EURO V,"275,00","5,80","11,80","8,50"
Mercedes Benz,A 180,"A 180 1,6 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.6,Hatch Back,MB4854E50414S01-5,,LPO,Comercial Kaufmann S.A.,EURO V,"133,00","13,20","21,70","17,50"
Mercedes Benz,A 180 CDI,"A 180 CDI 1,8 Lts. DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,1.8,Hatch Back,MB4586E50312S02-1,,LPD,Comercial Kaufmann S.A.,EURO V,"145,00","13,60","22,40","18,20"
Mercedes Benz,A 45 AMG,"A 45 AMG 4 Matic 2,0 Lts. DOHC Hatch Back 5P. T/A 4x4 Motor Otto",4x4,A,Gasolina,2,Hatch Back,MB5337E50813S00-9,10/7/13,LPO,Comercial Kaufmann S.A.,EURO V,"168,00","10,90","16,70","13,90"
Mercedes Benz,A00,"A 200 1,6 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.6,Hatch Back,MB4854E50414S00-1,10/18/12,LPO,Comercial Kaufmann S.A.,EURO V,"140,00","12,70","20,00","16,70"
Mercedes Benz,A00,"A 200 1,6 Lts. DOHC Hatch Back 5P. T/A Motor Otto",4x2,A,Gasolina,1.6,Hatch Back,MB4887E50414S00-1,12/5/12,LPO,Comercial Kaufmann S.A.,EURO V,"137,00","13,30","20,00","16,90"
Mercedes Benz,A00 CDI,"A 200 CDI 1,8 Lts. DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,1.8,Hatch Back,MB4859E51012S00-9,12/20/12,LPD,Comercial Kaufmann S.A.,EURO V,"142,00","14,60","22,10","18,60"
Mercedes Benz,A00 CDI,"A 200 CDI 2,1 Lts., DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,2.1,Hatch Back,MB5766E50514S00-5,7/3/14,LPD,Comercial Kaufmann S.A.,EURO V,"141,00","16,30","20,30","18,60"
Mercedes Benz,A20 CDI,"A 220 CDI 2,1 Lts., DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,2.1,Hatch Back,MB5766E50514S01-9,,LPD,Comercial Kaufmann S.A.,EURO V,"141,00","16,30","20,30","18,60"
Mercedes Benz,A50 CGI,"A 250 CGI 2,0 Lts. DOHC Hatch Back 5P. T/A Motor Otto",CT,A,Gasolina,2,Hatch Back,MB5029E50414S00-9,2/7/13,LPO,Comercial Kaufmann S.A.,EURO V,"152,00","11,60","18,90","15,20"
Mercedes Benz,AMG GT S,"AMG GT S 4,0 Lts. Coupe 2P. T/A Otto",CT,A,Gasolina,4,Coupe,MB6127E60215S00-4,3/26/15,LPO,Comercial Kaufmann S.A.,EURO VI,"219,00","8,20","12,80","10,60"
Mercedes Benz,B 180,"B 180 1,6 Lts. DOHC Hatch Back 5P. T/M Motor Otto",4x2,M,Gasolina,1.6,Hatch Back,MB4624E50814S00-7,5/3/12,LPO,Comercial Kaufmann S.A.,EURO V,"140,00","12,30","20,80","16,70"
Mercedes Benz,B 180,"B 180 1,6 Lts. DOHC Hatch Back 5P. T/A Motor Otto",CT,A,Gasolina,1.6,Hatch Back,MB4587E50414S00-0,3/19/12,LPO,Comercial Kaufmann S.A.,EURO V,"141,00","12,30","20,40","16,40"
Mercedes Benz,B 180 CDI,"B 180 CDI 1,8 Lts. DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,1.8,Hatch Back,MB4586E50312S00-4,3/29/12,LPD,Comercial Kaufmann S.A.,EURO V,"145,00","13,60","22,40","18,20"
Mercedes Benz,B 180 CDI,"B 180 CDI 1,5 Lts. DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,1.5,Hatch Back,MB5790E50614S00-5,7/29/14,LPD,Comercial Kaufmann S.A.,EURO V,"133,00","15,00","24,30","19,80"
Mercedes Benz,B00,"B 200 1,6 Lts. DOHC Hatch Back 5P. T/A Motor Otto",4x2,A,Gasolina,1.6,Hatch Back,MB4887E50414S01-5,,LPO,Comercial Kaufmann S.A.,EURO V,"136,00","13,20","20,80","17,20"
Mercedes Benz,B00 CDI,"B 200 CDI 1,8 Lts. DOHC Hatch Back 5P. T/A Motor Diesel",4x2,A,Diesel,1.8,Hatch Back,MB4586E50312S01-8,,LPD,Comercial Kaufmann S.A.,EURO V,"145,00","13,60","22,40","18,20"
Mercedes Benz,C 180,"C 180 1,6 Lts. DOHC Sedan 4P. T/A Motor Otto",4x2,A,Gasolina,1.6,Sedan,MB4771E50414S00-0,8/21/12,LPO,Comercial Kaufmann S.A.,EURO V,"146,00","12,30","18,90","15,90"
Mercedes Benz,C 180,"C 180 1,6 Lts. DOHC Coupe 2P. T/A Motor Otto",4x2,A,Gasolina,1.6,Coupé,MB4771E50414S01-4,,LPO,Comercial Kaufmann S.A.,EURO V,"146,00","12,30","18,90","15,90"
Mercedes Benz,C 180,"C 180 1,6 Lts. DOHC Sedan 4P. T/A Motor Otto",CT,A,Gasolina,1.6,Sedan,MB5698E50414S00-7,6/3/14,LPO,Comercial Kaufmann S.A.,EURO V,"127,00","14,50","21,30","18,20"
Mercedes Benz,C 200,"C 200 2,0 Lts. DOHC Sedan 4P. T/A Motor Otto",CT,A,Gasolina,2,Sedan,MB5848E50714S00-9,8/14/14,LPO,Comercial Kaufmann S.A.,EURO V,"136,00","13,30","20,00","16,90"
Mercedes Benz,C 200 CGI,"C 200 CGI 1,8 Lts. DOHC Station Wagon 5P. T/A Motor Otto",4x2,A,Gasolina,1.8,Station Wagon,MB3234E50414S02-5,,LPO,Comercial Kaufmann S.A.,EURO V,"171,00","9,70","17,50","13,50"
